movieId,title,title_without_year,release_year,genres,average_rating,rating_count,tag_count,top_tags,vibe_summary,movielens_url
1,Toy Story (1995),Toy Story,1995,Adventure; Animation; Children; Comedy; Fantasy,3.92,215,3,pixar; fun,funny; family-friendly; fantastical; warm,https://movielens.org/movies/1
2,Jumanji (1995),Jumanji,1995,Adventure; Children; Fantasy,3.43,110,4,fantasy; game; magic board game; robin williams,family-friendly; fantastical,https://movielens.org/movies/2
3,Grumpier Old Men (1995),Grumpier Old Men,1995,Comedy; Romance,3.26,52,2,moldy; old,funny; romantic,https://movielens.org/movies/3
4,Waiting to Exhale (1995),Waiting to Exhale,1995,Comedy; Drama; Romance,2.36,7,0,,funny; character-driven; romantic,https://movielens.org/movies/4
5,Father of the Bride Part II (1995),Father of the Bride Part II,1995,Comedy,3.07,49,2,pregnancy; remake,funny,https://movielens.org/movies/5
6,Heat (1995),Heat,1995,Action; Crime; Thriller,3.95,102,0,,tense,https://movielens.org/movies/6
7,Sabrina (1995),Sabrina,1995,Comedy; Romance,3.19,54,1,remake,funny; romantic,https://movielens.org/movies/7
8,Tom and Huck (1995),Tom and Huck,1995,Adventure; Children,2.88,8,0,,family-friendly,https://movielens.org/movies/8
9,Sudden Death (1995),Sudden Death,1995,Action,3.13,16,0,,general audience,https://movielens.org/movies/9
10,GoldenEye (1995),GoldenEye,1995,Action; Adventure; Thriller,3.50,132,0,,tense,https://movielens.org/movies/10
11,"American President, The (1995)","American President, The",1995,Comedy; Drama; Romance,3.67,70,2,politics; president,funny; character-driven; romantic,https://movielens.org/movies/11
12,Dracula: Dead and Loving It (1995),Dracula: Dead and Loving It,1995,Comedy; Horror,2.42,19,0,,funny; dark,https://movielens.org/movies/12
13,Balto (1995),Balto,1995,Adventure; Animation; Children,3.13,8,0,,family-friendly,https://movielens.org/movies/13
14,Nixon (1995),Nixon,1995,Drama,3.83,18,2,politics; president,character-driven,https://movielens.org/movies/14
15,Cutthroat Island (1995),Cutthroat Island,1995,Action; Adventure; Romance,3.00,13,0,,romantic,https://movielens.org/movies/15
16,Casino (1995),Casino,1995,Crime; Drama,3.93,82,1,mafia,character-driven; tense,https://movielens.org/movies/16
17,Sense and Sensibility (1995),Sense and Sensibility,1995,Drama; Romance,3.78,67,1,jane austen,character-driven; romantic,https://movielens.org/movies/17
18,Four Rooms (1995),Four Rooms,1995,Comedy,3.70,20,0,,funny,https://movielens.org/movies/18
19,Ace Ventura: When Nature Calls (1995),Ace Ventura: When Nature Calls,1995,Comedy,2.73,88,0,,funny,https://movielens.org/movies/19
20,Money Train (1995),Money Train,1995,Action; Comedy; Crime; Drama; Thriller,2.50,15,0,,funny; character-driven; tense,https://movielens.org/movies/20
21,Get Shorty (1995),Get Shorty,1995,Comedy; Crime; Thriller,3.49,89,1,hollywood,funny; tense,https://movielens.org/movies/21
22,Copycat (1995),Copycat,1995,Crime; Drama; Horror; Mystery; Thriller,3.22,36,1,serial killer,character-driven; tense; dark,https://movielens.org/movies/22
23,Assassins (1995),Assassins,1995,Action; Crime; Thriller,3.13,16,0,,tense,https://movielens.org/movies/23
24,Powder (1995),Powder,1995,Drama; Sci-Fi,3.13,28,0,,character-driven; imaginative,https://movielens.org/movies/24
25,Leaving Las Vegas (1995),Leaving Las Vegas,1995,Drama; Romance,3.63,76,1,alcoholism,character-driven; romantic,https://movielens.org/movies/25
26,Othello (1995),Othello,1995,Drama,3.50,13,1,shakespeare,character-driven,https://movielens.org/movies/26
27,Now and Then (1995),Now and Then,1995,Children; Drama,3.33,9,0,,character-driven; family-friendly,https://movielens.org/movies/27
28,Persuasion (1995),Persuasion,1995,Drama; Romance,4.23,11,2,in netflix queue; jane austen,character-driven; romantic,https://movielens.org/movies/28
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)","City of Lost Children, The (Cité des enfants perdus, La)",1995,Adventure; Drama; Fantasy; Mystery; Sci-Fi,4.01,38,1,kidnapping,character-driven; imaginative; fantastical,https://movielens.org/movies/29
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Shanghai Triad (Yao a yao yao dao waipo qiao),1995,Crime; Drama,3.00,3,0,,character-driven; tense,https://movielens.org/movies/30
31,Dangerous Minds (1995),Dangerous Minds,1995,Drama,3.18,38,2,high school; teacher,character-driven,https://movielens.org/movies/31
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Twelve Monkeys (a.k.a. 12 Monkeys),1995,Mystery; Sci-Fi; Thriller,3.98,177,10,time travel; brad pitt; bruce willis; mindfuck; post apocalyptic; post-apocalyptic; remake; twist ending,tense; imaginative; mind-bending,https://movielens.org/movies/32
34,Babe (1995),Babe,1995,Children; Drama,3.65,128,3,animal movie; pigs; villain nonexistent or not needed for good story,character-driven; family-friendly,https://movielens.org/movies/34
