movieId,title,title_without_year,release_year,genres,average_rating,rating_count,tag_count,top_tags,vibe_summary,movielens_url
318,"Shawshank Redemption, The (1994)","Shawshank Redemption, The",1994,Crime; Drama,4.43,317,4,morgan freeman; prison; stephen king; wrongful imprisonment,character-driven; tense,https://movielens.org/movies/318
858,"Godfather, The (1972)","Godfather, The",1972,Crime; Drama,4.29,192,1,mafia,character-driven; tense,https://movielens.org/movies/858
2959,Fight Club (1999),Fight Club,1999,Action; Crime; Drama; Thriller,4.27,218,54,dark comedy; psychology; thought-provoking; twist ending; violence; action; atmospheric; based on a book,character-driven; tense; mind-bending,https://movielens.org/movies/2959
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Comedy; War,4.27,97,10,dark comedy; black comedy; atomic bomb; purity of essence; quirky; satire; slim pickens,funny; quirky,https://movielens.org/movies/750
1276,Cool Hand Luke (1967),Cool Hand Luke,1967,Drama,4.27,57,1,prison,character-driven,https://movielens.org/movies/1276
1221,"Godfather: Part II, The (1974)","Godfather: Part II, The",1974,Crime; Drama,4.26,129,3,mafia; al pacino,character-driven; tense,https://movielens.org/movies/1221
904,Rear Window (1954),Rear Window,1954,Mystery; Thriller,4.26,84,6,imdb top 250; james stewart; mystery; photographer; photography; voyeurism,tense,https://movielens.org/movies/904
1213,Goodfellas (1990),Goodfellas,1990,Crime; Drama,4.25,126,1,mafia,character-driven; tense,https://movielens.org/movies/1213
48516,"Departed, The (2006)","Departed, The",2006,Crime; Drama; Thriller,4.25,107,10,leonardo dicaprio; suspense; atmospheric; jack nicholson; martin scorsese; twist ending; undercover cop; way too long,character-driven; tense; mind-bending,https://movielens.org/movies/48516
50,"Usual Suspects, The (1995)","Usual Suspects, The",1995,Crime; Mystery; Thriller,4.24,204,6,heist; mindfuck; suspense; thriller; tricky; twist ending,tense; mind-bending,https://movielens.org/movies/50
58559,"Dark Knight, The (2008)","Dark Knight, The",2008,Action; Crime; Drama; IMAX,4.24,149,4,dark; gritty; psychology; superhero,character-driven; tense,https://movielens.org/movies/58559
912,Casablanca (1942),Casablanca,1942,Drama; Romance,4.24,100,1,start of a beautiful friendship,character-driven; romantic,https://movielens.org/movies/912
260,Star Wars: Episode IV - A New Hope (1977),Star Wars: Episode IV - A New Hope,1977,Action; Adventure; Sci-Fi,4.23,251,26,classic sci-fi; sci-fi; classic; epic; space action; star wars; action; darth vader,imaginative; well-regarded,https://movielens.org/movies/260
1197,"Princess Bride, The (1987)","Princess Bride, The",1987,Action; Adventure; Comedy; Fantasy; Romance,4.23,142,2,inigo montoya; six-fingered man,funny; romantic; fantastical,https://movielens.org/movies/1197
527,Schindler's List (1993),Schindler's List,1993,Drama; War,4.22,220,7,holocaust; based on a true story; biography; disturbing; moving; thought-provoking,character-driven,https://movielens.org/movies/527
1196,Star Wars: Episode V - The Empire Strikes Back (1980),Star Wars: Episode V - The Empire Strikes Back,1980,Action; Adventure; Sci-Fi,4.22,211,10,classic; george lucas; harrison ford; i am your father; music; original plot; sci-fi; sequel,imaginative; well-regarded,https://movielens.org/movies/1196
2329,American History X (1998),American History X,1998,Crime; Drama,4.22,129,5,edward norton; emotional; politics; racism; thought-provoking,character-driven; tense,https://movielens.org/movies/2329
1208,Apocalypse Now (1979),Apocalypse Now,1979,Action; Drama; War,4.22,107,1,vietnam,character-driven,https://movielens.org/movies/1208
1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark),1981,Action; Adventure,4.21,200,8,archaeology; indiana jones; adventure; ark of the covenant; steven spielberg; treasure hunt,general audience,https://movielens.org/movies/1198
1252,Chinatown (1974),Chinatown,1974,Crime; Film-Noir; Mystery; Thriller,4.21,59,1,incest,tense,https://movielens.org/movies/1252
296,Pulp Fiction (1994),Pulp Fiction,1994,Comedy; Crime; Drama; Thriller,4.20,307,181,cult film; drugs; good dialogue; great soundtrack; hit men; non-linear; quentin tarantino; tarantino,funny; character-driven; tense,https://movielens.org/movies/296
1193,One Flew Over the Cuckoo's Nest (1975),One Flew Over the Cuckoo's Nest,1975,Drama,4.20,133,3,emotional; jack nicholson; mental illness,character-driven,https://movielens.org/movies/1193
1089,Reservoir Dogs (1992),Reservoir Dogs,1992,Crime; Mystery; Thriller,4.20,131,11,quentin tarantino; ensemble cast; heist; humorous; neo-noir; nonlinear; religion; stylized,tense,https://movielens.org/movies/1089
2571,"Matrix, The (1999)","Matrix, The",1999,Action; Sci-Fi; Thriller,4.19,278,5,alternate universe; martial arts; philosophy; post apocalyptic; sci-fi,tense; imaginative,https://movielens.org/movies/2571
4973,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)","Amelie (Fabuleux destin d'Amélie Poulain, Le)",2001,Comedy; Romance,4.18,120,1,whimsical,funny; romantic,https://movielens.org/movies/4973
1225,Amadeus (1984),Amadeus,1984,Drama,4.18,76,2,mozart; salieri,character-driven,https://movielens.org/movies/1225
1199,Brazil (1985),Brazil,1985,Fantasy; Sci-Fi,4.18,59,0,,imaginative; fantastical,https://movielens.org/movies/1199
908,North by Northwest (1959),North by Northwest,1959,Action; Adventure; Mystery; Romance; Thriller,4.18,57,3,alfred hitchcock; imdb top 250; mount rushmore,tense; romantic,https://movielens.org/movies/908
356,Forrest Gump (1994),Forrest Gump,1994,Comedy; Drama; Romance; War,4.16,329,9,bittersweet; bubba gump shrimp; emotional; heartwarming; lieutenant dan; shrimp; stupid is as stupid does; touching,funny; character-driven; romantic,https://movielens.org/movies/356
593,"Silence of the Lambs, The (1991)","Silence of the Lambs, The",1991,Crime; Horror; Thriller,4.16,279,6,disturbing; drama; gothic; hannibal lector; psychology; suspense,tense; dark,https://movielens.org/movies/593
1136,Monty Python and the Holy Grail (1975),Monty Python and the Holy Grail,1975,Adventure; Comedy; Fantasy,4.16,136,4,british comedy; england; king arthur; monty python,funny; fantastical,https://movielens.org/movies/1136
7361,Eternal Sunshine of the Spotless Mind (2004),Eternal Sunshine of the Spotless Mind,2004,Drama; Romance; Sci-Fi,4.16,131,34,jim carrey; memory; surreal; thought-provoking; alternate reality; arthouse; artistic; atmospheric,character-driven; romantic; imaginative,https://movielens.org/movies/7361
4011,Snatch (2000),Snatch,2000,Comedy; Crime; Thriller,4.16,93,0,,funny; tense,https://movielens.org/movies/4011
5618,Spirited Away (Sen to Chihiro no kamikakushi) (2001),Spirited Away (Sen to Chihiro no kamikakushi),2001,Adventure; Animation; Fantasy,4.16,87,1,anime,family-friendly; fantastical,https://movielens.org/movies/5618
2028,Saving Private Ryan (1998),Saving Private Ryan,1998,Action; Drama; War,4.15,188,1,world war ii,character-driven,https://movielens.org/movies/2028
3147,"Green Mile, The (1999)","Green Mile, The",1999,Crime; Drama,4.15,111,1,stephen king,character-driven; tense,https://movielens.org/movies/3147
2324,Life Is Beautiful (La Vita è bella) (1997),Life Is Beautiful (La Vita è bella),1997,Comedy; Drama; Romance; War,4.15,88,8,bittersweet; emotional; heartwarming; holocaust; poignant; sentimental; tear jerker; tearjerking,funny; character-driven; romantic,https://movielens.org/movies/2324
