artistID,artist_name,listener_count,total_listens,average_listens_per_listener,tag_assignment_count,top_tags,vibe_summary,popularity_tier,lastfm_url
1,MALICE MIZER,3,771,257.0,15,j-rock; visual kei; gothic; japanese; better than lady gaga; jrock; weeabo,high-energy; dark,niche in sample,http://www.last.fm/music/MALICE+MIZER
2,Diary of Dreams,12,8012,667.7,27,darkwave; german; gothic; seen live; ambient; dark; electronic; gothic rock; industrial; true goth emo,high-energy; upbeat; chill; dark,niche in sample,http://www.last.fm/music/Diary+of+Dreams
3,Carpathian Forest,3,775,258.3,9,black metal; true norwegian black metal; norsk arysk metal; norwegian black metal; saxophones; very kvlt,high-energy; dark,niche in sample,http://www.last.fm/music/Carpathian+Forest
4,Moi dix Mois,2,563,281.5,22,j-rock; japanese; gothic; visual kei; metal; bazarov; gothic japanese; gothic metal; rock,high-energy; dark,niche in sample,http://www.last.fm/music/Moi+dix+Mois
5,Bella Morte,2,913,456.5,7,darkwave; covers; deathrock; gothic; gothic rock,high-energy; dark,niche in sample,http://www.last.fm/music/Bella+Morte
6,Moonspell,10,5080,508.0,27,gothic metal; black metal; doom metal; awesome; bazarov; best song ever; dark; dark metal; for work; fucking awesome,high-energy; dark,niche in sample,http://www.last.fm/music/Moonspell
7,Marilyn Manson,133,96201,723.3,178,metal; industrial; rock; industrial metal; alternative; american; cover; alternative metal; industrial rock; marilyn manson,high-energy; indie/alternative,well represented in sample,http://www.last.fm/music/Marilyn+Manson
8,DIR EN GREY,12,10791,899.3,28,j-rock; metal; visual kei; japanese; jrock; dark; favorites; hall; hard rock - metal; rock,high-energy; dark,specialist favorite in sample,http://www.last.fm/music/DIR+EN+GREY
9,Combichrist,24,9621,400.9,41,industrial; ebm; dark electro; seen live; aggrotech; alpha quadrant; combichrist; dark techno; electro; electro-industrial,upbeat; dark,niche in sample,http://www.last.fm/music/Combichrist
10,Grendel,9,4067,451.9,24,ebm; dark electro; industrial; electronic; dutch; harsh ebm; melodic death metal; terrorbanana,high-energy; upbeat; dark,niche in sample,http://www.last.fm/music/Grendel
11,Agonoize,6,1992,332.0,17,ebm; dark electro; industrial; electronic; german; rave; terrorbanana,upbeat; dark,niche in sample,http://www.last.fm/music/Agonoize
12,Behemoth,19,9564,503.4,22,death metal; black metal; blackened death metal; brutal death metal; black metal cabeza; death-black metal; extreme metal; pldm; polish; polish death metal,high-energy; dark,niche in sample,http://www.last.fm/music/Behemoth
13,Hocico,10,2376,237.6,22,ebm; dark electro; industrial; electro-industrial; aggrotech; electronic; friends; harsh ebm,upbeat; dark,niche in sample,http://www.last.fm/music/Hocico
15,Dimmu Borgir,26,8963,344.7,42,black metal; symphonic black metal; melodic black metal; death metal; atmospheric black metal; awesome; black metal cabeza; close your eyes and imagine; dark metal; extreme metal,high-energy; dark,specialist favorite in sample,http://www.last.fm/music/Dimmu+Borgir
16,London After Midnight,8,1381,172.6,24,gothic; gothic rock; industrial; darkwave; goth; covers; dark wave; electronic; heavy; sexy songs,high-energy; upbeat; dark,niche in sample,http://www.last.fm/music/London+After+Midnight
17,Psyclon Nine,6,1780,296.7,18,industrial; dark electro; ebm; aggrotech; harsh ebm; heavy; terrorbanana,upbeat; dark,niche in sample,http://www.last.fm/music/Psyclon+Nine
18,The Crüxshadows,10,3820,382.0,32,darkwave; gothic; industrial; electronic; covers; ebm; goth; dark wave; electro pop; electronica,upbeat; dark,niche in sample,http://www.last.fm/music/The+Cr%C3%BCxshadows
19,:wumpscut:,13,8685,668.1,30,industrial; ebm; dark electro; electronic; darkwave; electro-industrial; favorite; german; ogonj; ohm sweet ohm,upbeat; dark,niche in sample,http://www.last.fm/music/%3Awumpscut%3A
20,Limbonic Art,1,60,60.0,7,black metal; metal; norwegian black metal; symphonic black metal; symphonic metal,high-energy; dark,niche in sample,http://www.last.fm/music/Limbonic+Art
21,Artista sconosciuto,1,110,110.0,0,,eclectic,niche in sample,http://www.last.fm/music/Artista+sconosciuto
22,xotox,1,58,58.0,7,industrial; noise; ebm; electro-industrial; powernoise,upbeat,niche in sample,http://www.last.fm/music/xotox
23,The Kovenant,4,1699,424.8,12,industrial metal; black metal; cyber metal; electronic; industrial; industrial black metal; just could not get any better; prejebeno,high-energy; upbeat; dark,niche in sample,http://www.last.fm/music/The+Kovenant
24,Feindflug,4,290,72.5,10,industrial; ebm; electro-industrial; approfondire; rave; terrorbanana,upbeat,niche in sample,http://www.last.fm/music/Feindflug
25,Cradle of Filth,26,15166,583.3,38,black metal; gothic metal; metal; symphonic black metal; death metal; cover; black gay; gothic; great intro; melodic black metal,high-energy; dark,specialist favorite in sample,http://www.last.fm/music/Cradle+of+Filth
26,Tamtrum,2,558,279.0,15,dark electro; french; electronic; favourites; friends; harsh ebm; industrial; melancholy; sad; seen live,upbeat; dark,niche in sample,http://www.last.fm/music/Tamtrum
27,Laibach,6,5076,846.0,21,industrial; ebm; electronic; avant-garde; cover; covers; electro; experimental; favorites; german,upbeat,niche in sample,http://www.last.fm/music/Laibach
28,Gorgoroth,6,2109,351.5,21,black metal; metal; norwegian black metal; true norwegian black metal; black metal cabeza; killer drums; satanic metal; seen live; true black metal; very kvlt,high-energy; dark,niche in sample,http://www.last.fm/music/Gorgoroth
30,And One,32,38949,1217.2,74,ebm; synthpop; electronic; industrial; futurepop; german; new wave; synth pop; 80s; 90s,upbeat,specialist favorite in sample,http://www.last.fm/music/And+One
31,Amduscia,4,2134,533.5,15,ebm; dark electro; industrial; aggrotech; dark; seen live; terrorbanana,upbeat; dark,niche in sample,http://www.last.fm/music/Amduscia
32,Covenant,16,9256,578.5,53,ebm; electronic; futurepop; synthpop; industrial; seen live; darkwave; electronica; 80s; black metal,high-energy; upbeat; dark,niche in sample,http://www.last.fm/music/Covenant
34,Icon of Coil,9,2887,320.8,19,ebm; industrial; electronic; futurepop; synthpop; favorites; futurepop anthem; norwegian; ultimate favorite,upbeat,niche in sample,http://www.last.fm/music/Icon+of+Coil
