artistID,artist_name,listener_count,total_listens,average_listens_per_listener,tag_assignment_count,top_tags,vibe_summary,popularity_tier,lastfm_url
89,Lady Gaga,611,1291387,2113.6,767,pop; dance; electronic; female vocalists; lady gaga; female vocalist; electropop; sexy; amazing; diva,upbeat; vocal-forward,broadly popular in sample,http://www.last.fm/music/Lady+Gaga
289,Britney Spears,522,2393140,4584.6,931,pop; dance; female vocalists; legend; britney spears; electronic; sexy; 90s; amazing; american,upbeat; vocal-forward,broadly popular in sample,http://www.last.fm/music/Britney+Spears
288,Rihanna,484,905423,1870.7,528,pop; rnb; dance; female vocalists; hip-hop; rihanna; sexy; love; female vocalist; ballad,upbeat; groove-led; vocal-forward,broadly popular in sample,http://www.last.fm/music/Rihanna
227,The Beatles,480,662116,1379.4,598,classic rock; rock; british; 60s; pop; psychedelic; the beatles; britpop; psychedelic rock; rock and roll,high-energy; upbeat,broadly popular in sample,http://www.last.fm/music/The+Beatles
300,Katy Perry,473,532545,1125.9,424,pop; female vocalists; pop rock; rock; dance; indie; love; <3; electronic; katy perry,high-energy; upbeat; indie/alternative; vocal-forward,broadly popular in sample,http://www.last.fm/music/Katy+Perry
67,Madonna,429,921198,2147.3,730,pop; dance; female vocalists; 80s; electronic; 90s; madonna; sexy; legend; diva,upbeat; vocal-forward,broadly popular in sample,http://www.last.fm/music/Madonna
333,Avril Lavigne,417,525844,1261.0,445,pop; female vocalists; pop rock; rock; canadian; pop punk; punk; alternative; female vocalist; punk rock,high-energy; upbeat; indie/alternative; vocal-forward,broadly popular in sample,http://www.last.fm/music/Avril+Lavigne
292,Christina Aguilera,407,1058405,2600.5,762,pop; female vocalists; dance; rnb; soul; sexy; christina aguilera; legend; electronic; ballad,upbeat; groove-led; vocal-forward,broadly popular in sample,http://www.last.fm/music/Christina+Aguilera
190,Muse,400,485076,1212.7,595,alternative rock; rock; alternative; progressive rock; indie; british; indie rock; seen live; britpop; awesome,high-energy; upbeat; indie/alternative,broadly popular in sample,http://www.last.fm/music/Muse
498,Paramore,399,963449,2414.7,467,rock; female vocalists; alternative; pop punk; emo; alternative rock; pop rock; paramore; indie; punk,high-energy; upbeat; indie/alternative; vocal-forward,broadly popular in sample,http://www.last.fm/music/Paramore
295,Beyoncé,397,499318,1257.7,365,rnb; pop; soul; female vocalists; hip-hop; sexy; beyonce; dance; female vocalist; hip hop,upbeat; groove-led; beat-focused; vocal-forward,broadly popular in sample,http://www.last.fm/music/Beyonc%C3%A9
154,Radiohead,393,385306,980.4,563,alternative; rock; alternative rock; indie; electronic; british; britpop; experimental; indie rock; 90s,high-energy; upbeat; indie/alternative,broadly popular in sample,http://www.last.fm/music/Radiohead
65,Coldplay,369,330757,896.4,454,alternative; alternative rock; rock; britpop; british; indie; indie rock; coldplay; beautiful; seen live,high-energy; upbeat; indie/alternative,broadly popular in sample,http://www.last.fm/music/Coldplay
466,Ke$ha,362,384405,1061.9,216,pop; dance; electronic; electropop; female vocalists; party; 2010; love at first listen; <3; kesha,upbeat; vocal-forward,broadly popular in sample,http://www.last.fm/music/Ke%24ha
701,Shakira,319,688529,2158.4,344,pop; female vocalists; latin; rock; sexy; spanish; dance; shakira; legend; catchy,high-energy; upbeat; vocal-forward,broadly popular in sample,http://www.last.fm/music/Shakira
302,P!nk,305,207761,681.2,201,pop; female vocalists; pop rock; rock; dance; 00s; female; female vocalist; rnb; american,high-energy; upbeat; groove-led; vocal-forward,broadly popular in sample,http://www.last.fm/music/P%21nk
229,The Killers,304,191979,631.5,360,indie; indie rock; rock; alternative; alternative rock; electronic; seen live; britpop; pop; awesome,high-energy; upbeat; indie/alternative,broadly popular in sample,http://www.last.fm/music/The+Killers
306,Black Eyed Peas,304,188634,620.5,244,hip-hop; pop; rap; dance; rnb; hip hop; electronic; black eyed peas; female vocalists; 00s,upbeat; groove-led; beat-focused; vocal-forward,broadly popular in sample,http://www.last.fm/music/Black+Eyed+Peas
55,Kylie Minogue,298,449292,1507.7,401,dance; pop; electronic; female vocalists; 80s; 90s; australian; disco; sexy; seen live,upbeat; vocal-forward,broadly popular in sample,http://www.last.fm/music/Kylie+Minogue
461,Miley Cyrus,286,489065,1710.0,294,pop; female vocalists; dance; disney; miley cyrus; pop rock; <3; guilty pleasure; amazing; catchy,high-energy; upbeat; vocal-forward,broadly popular in sample,http://www.last.fm/music/Miley+Cyrus
72,Depeche Mode,282,1301308,4614.6,701,electronic; new wave; 80s; synthpop; synth pop; alternative; british; depeche mode; 90s; rock,high-energy; upbeat; indie/alternative,broadly popular in sample,http://www.last.fm/music/Depeche+Mode
377,Linkin Park,280,265362,947.7,271,rock; nu metal; alternative rock; alternative; metal; male vocalists; 00s; american; hip-hop; awesome,high-energy; indie/alternative; vocal-forward,broadly popular in sample,http://www.last.fm/music/Linkin+Park
157,Michael Jackson,266,296882,1116.1,467,pop; 80s; dance; soul; funk; legend; 90s; king of pop; michael jackson; rock,high-energy; upbeat; groove-led,broadly popular in sample,http://www.last.fm/music/Michael+Jackson
291,Kelly Clarkson,260,253027,973.2,288,pop; female vocalists; pop rock; rock; american idol; female vocalist; kelly clarkson; favorites; alternative; amazing,high-energy; upbeat; indie/alternative; vocal-forward,broadly popular in sample,http://www.last.fm/music/Kelly+Clarkson
163,Pink Floyd,258,466104,1806.6,388,progressive rock; classic rock; psychedelic rock; rock; psychedelic; 70s; 80s; 60s; british; instrumental,high-energy; cinematic,broadly popular in sample,http://www.last.fm/music/Pink+Floyd
234,Nirvana,258,190232,737.3,339,grunge; alternative; rock; alternative rock; 90s; punk; nirvana; acoustic; classic rock; hard rock,high-energy; story-driven; indie/alternative,broadly popular in sample,http://www.last.fm/music/Nirvana
679,Glee Cast,249,506453,2033.9,124,glee; cover; pop; musical; soundtrack; female vocalists; love; britney spears; covers; glee cast,upbeat; cinematic; vocal-forward,broadly popular in sample,http://www.last.fm/music/Glee+Cast
207,Arctic Monkeys,248,288520,1163.4,292,indie rock; indie; british; rock; alternative; britpop; alternative rock; uk; arctic monkeys; post-punk,high-energy; upbeat; indie/alternative,broadly popular in sample,http://www.last.fm/music/Arctic+Monkeys
344,Taylor Swift,247,525292,2126.7,305,country; female vocalists; pop; singer-songwriter; acoustic; taylor swift; love; country pop; amazing; <3,upbeat; story-driven; vocal-forward,broadly popular in sample,http://www.last.fm/music/Taylor+Swift
298,Lily Allen,243,129352,532.3,194,pop; female vocalists; british; britpop; singer-songwriter; electropop; indie; uk; cute; 00s,upbeat; story-driven; indie/alternative; vocal-forward,well represented in sample,http://www.last.fm/music/Lily+Allen
173,Placebo,242,245878,1016.0,376,alternative; alternative rock; indie; rock; britpop; indie rock; british; seen live; 90s; cover,high-energy; upbeat; indie/alternative,broadly popular in sample,http://www.last.fm/music/Placebo
257,Mariah Carey,241,384307,1594.6,308,rnb; pop; female vocalists; soul; 90s; love; mariah carey; sexy; diva; ballad,upbeat; groove-led; vocal-forward,broadly popular in sample,http://www.last.fm/music/Mariah+Carey
230,Green Day,236,155321,658.1,263,punk rock; rock; punk; alternative; pop punk; alternative rock; 90s; 00s; american; green day,high-energy; upbeat; indie/alternative,broadly popular in sample,http://www.last.fm/music/Green+Day
