tag,assignment_count,artist_count,sample_artists
rock,7503,2248,Lady Gaga; Britney Spears; Rihanna; The Beatles; Katy Perry; Madonna; Avril Lavigne; Christina Aguilera
pop,5418,1726,Lady Gaga; Britney Spears; Rihanna; The Beatles; Katy Perry; Madonna; Avril Lavigne; Christina Aguilera
alternative,5251,1718,Lady Gaga; Britney Spears; The Beatles; Madonna; Avril Lavigne; Christina Aguilera; Muse; Paramore
electronic,4672,1704,Lady Gaga; Britney Spears; Rihanna; Katy Perry; Madonna; Avril Lavigne; Christina Aguilera; Muse
indie,4458,1505,The Beatles; Katy Perry; Madonna; Avril Lavigne; Christina Aguilera; Muse; Paramore; Radiohead
female vocalists,4228,1380,Lady Gaga; Britney Spears; Rihanna; Katy Perry; Madonna; Avril Lavigne; Christina Aguilera; Paramore
80s,2791,803,The Beatles; Madonna; Radiohead; Kylie Minogue; Depeche Mode; Michael Jackson; Pink Floyd; Nirvana
dance,2739,931,Lady Gaga; Britney Spears; Rihanna; The Beatles; Katy Perry; Madonna; Avril Lavigne; Christina Aguilera
alternative rock,2631,863,The Beatles; Katy Perry; Avril Lavigne; Muse; Paramore; Radiohead; Coldplay; The Killers
classic rock,2287,471,The Beatles; Madonna; Radiohead; Coldplay; Depeche Mode; Michael Jackson; Pink Floyd; Nirvana
british,2092,674,The Beatles; Muse; Radiohead; Coldplay; The Killers; Kylie Minogue; Depeche Mode; Pink Floyd
indie rock,2060,759,The Beatles; Katy Perry; Avril Lavigne; Muse; Paramore; Radiohead; Coldplay; The Killers
singer-songwriter,1834,865,Lady Gaga; Britney Spears; The Beatles; Katy Perry; Madonna; Avril Lavigne; Christina Aguilera; Muse
hard rock,1789,496,The Beatles; Avril Lavigne; Muse; Linkin Park; Kelly Clarkson; Pink Floyd; Nirvana; Evanescence
experimental,1741,934,The Beatles; Muse; Radiohead; Coldplay; Shakira; Depeche Mode; Pink Floyd; Nirvana
metal,1729,638,Madonna; Avril Lavigne; Coldplay; Depeche Mode; Linkin Park; Green Day; Evanescence; Metallica
ambient,1699,763,The Beatles; Radiohead; Coldplay; Depeche Mode; Pink Floyd; David Bowie; Amy Winehouse; Björk
