id,pack,subfolder,title,document_type,source_url,download_url,local_path,file_type,source_domain,collected_date,notes,status
music-0001,02_music,source_archives,HetRec 2011 Last.fm 2K zip archive,source_archive,https://grouplens.org/datasets/hetrec-2011/,https://files.grouplens.org/datasets/hetrec2011/hetrec2011-lastfm-2k.zip,source_archives/hetrec2011-lastfm-2k.zip,zip,grouplens.org,2026-06-12,Official GroupLens-hosted HetRec 2011 Last.fm dataset archive.,downloaded
music-0002,02_music,source_files,HetRec 2011 Last.fm artists.dat,source_tsv,https://grouplens.org/datasets/hetrec-2011/,https://files.grouplens.org/datasets/hetrec2011/hetrec2011-lastfm-2k.zip,source_files/artists.dat,dat,grouplens.org,2026-06-12,Extracted from official GroupLens-hosted HetRec 2011 Last.fm archive.,downloaded
music-0003,02_music,source_files,HetRec 2011 Last.fm user_artists.dat,source_tsv,https://grouplens.org/datasets/hetrec-2011/,https://files.grouplens.org/datasets/hetrec2011/hetrec2011-lastfm-2k.zip,source_files/user_artists.dat,dat,grouplens.org,2026-06-12,Extracted from official GroupLens-hosted HetRec 2011 Last.fm archive.,downloaded
music-0004,02_music,source_files,HetRec 2011 Last.fm tags.dat,source_tsv,https://grouplens.org/datasets/hetrec-2011/,https://files.grouplens.org/datasets/hetrec2011/hetrec2011-lastfm-2k.zip,source_files/tags.dat,dat,grouplens.org,2026-06-12,Extracted from official GroupLens-hosted HetRec 2011 Last.fm archive.,downloaded
music-0005,02_music,source_files,HetRec 2011 Last.fm user_taggedartists.dat,source_tsv,https://grouplens.org/datasets/hetrec-2011/,https://files.grouplens.org/datasets/hetrec2011/hetrec2011-lastfm-2k.zip,source_files/user_taggedartists.dat,dat,grouplens.org,2026-06-12,Extracted from official GroupLens-hosted HetRec 2011 Last.fm archive.,downloaded
music-0006,02_music,source_files,HetRec 2011 Last.fm user_taggedartists-timestamps.dat,source_tsv,https://grouplens.org/datasets/hetrec-2011/,https://files.grouplens.org/datasets/hetrec2011/hetrec2011-lastfm-2k.zip,source_files/user_taggedartists-timestamps.dat,dat,grouplens.org,2026-06-12,Extracted from official GroupLens-hosted HetRec 2011 Last.fm archive.,downloaded
music-0007,02_music,source_files,HetRec 2011 Last.fm user_friends.dat,source_tsv,https://grouplens.org/datasets/hetrec-2011/,https://files.grouplens.org/datasets/hetrec2011/hetrec2011-lastfm-2k.zip,source_files/user_friends.dat,dat,grouplens.org,2026-06-12,Extracted from official GroupLens-hosted HetRec 2011 Last.fm archive.,downloaded
music-0008,02_music,source_files,HetRec 2011 Last.fm readme.txt,source_readme,https://grouplens.org/datasets/hetrec-2011/,https://files.grouplens.org/datasets/hetrec2011/hetrec2011-lastfm-2k.zip,source_files/readme.txt,txt,grouplens.org,2026-06-12,Extracted from official GroupLens-hosted HetRec 2011 Last.fm archive.,downloaded
music-0009,02_music,cleaned_data,artist cards.csv,derived_llm_friendly_file,https://grouplens.org/datasets/hetrec-2011/,https://files.grouplens.org/datasets/hetrec2011/hetrec2011-lastfm-2k.zip,cleaned_data/artist_cards.csv,csv,grouplens.org,2026-06-12,Derived from HetRec 2011 Last.fm for hackathon usability.,generated
music-0010,02_music,cleaned_data,artist cards top 500.md,derived_llm_friendly_file,https://grouplens.org/datasets/hetrec-2011/,https://files.grouplens.org/datasets/hetrec2011/hetrec2011-lastfm-2k.zip,cleaned_data/artist_cards_top_500.md,md,grouplens.org,2026-06-12,Derived from HetRec 2011 Last.fm for hackathon usability.,generated
music-0011,02_music,cleaned_data,music discovery shortlist.csv,derived_llm_friendly_file,https://grouplens.org/datasets/hetrec-2011/,https://files.grouplens.org/datasets/hetrec2011/hetrec2011-lastfm-2k.zip,cleaned_data/music_discovery_shortlist.csv,csv,grouplens.org,2026-06-12,Derived from HetRec 2011 Last.fm for hackathon usability.,generated
music-0012,02_music,cleaned_data,tag mood index.csv,derived_llm_friendly_file,https://grouplens.org/datasets/hetrec-2011/,https://files.grouplens.org/datasets/hetrec2011/hetrec2011-lastfm-2k.zip,cleaned_data/tag_mood_index.csv,csv,grouplens.org,2026-06-12,Derived from HetRec 2011 Last.fm for hackathon usability.,generated
