osm_id,name,pack_type,category,cuisine,distance_miles_from_rahway,rough_drive_minutes_from_rahway,within_45_min_model,team_use_case,address,city,website,phone,opening_hours,lat,lon,osm_url,data_confidence,recommendation_score,verify_before_booking
way/947842675,Rahway Yacht Club,active_fun,marina,,0.8,10,yes,active team-building or playful outing,,,,,,40.6032709,-74.2633165,https://www.openstreetmap.org/way/947842675,medium,128,yes
way/344329685,Walter E. Ulrich Memorial Pool,active_fun,sports centre,,1.0,10,yes,active team-building or playful outing,,,,,,40.621019,-74.2881616,https://www.openstreetmap.org/way/344329685,medium,128,yes
node/1079085483,Haven Fitness,active_fun,fitness centre,,1.3,11,yes,active team-building or playful outing,"60, Westfield Avenue, Clark, NJ, 07066",Clark,https://thehavenfitnessnj.com/,+1-908-341-0232,Mo-Fr 06:00-21:00; Sa 08:30-12:00; Su off,40.6192482,-74.2975773,https://www.openstreetmap.org/node/1079085483,higher,157,yes
way/39680266,Colonia Country Club,active_fun,golf course,,2.0,12,yes,active team-building or playful outing,"300, Colonia Boulevard, Rahway, 07067",Rahway,http://coloniacc.net/,+1 732 381 9500,,40.5869185,-74.302557,https://www.openstreetmap.org/way/39680266,higher,151,yes
node/3838320000,LA Fitness,active_fun,fitness centre,,2.2,12,yes,active team-building or playful outing,"1255, Raritan Road, Clark, NJ, 07066",Clark,https://www.lafitness.com/pages/clubhome.aspx?clubid=1100&Clark-New+Jersey+GYM=,+1 732-943-9008,"Mo-Th 05:00-23:00; Fr 05:00-22:00; Sa,Su 08:00-20:00",40.6305975,-74.3064388,https://www.openstreetmap.org/node/3838320000,higher,155,yes
node/1078988572,Bally's Gym,active_fun,fitness centre,,2.3,13,yes,active team-building or playful outing,,,,,,40.6310779,-74.3101752,https://www.openstreetmap.org/node/1078988572,medium,124,yes
way/39835742,Hyatt Hills Golf Complex,active_fun,golf course,,2.4,13,yes,active team-building or playful outing,"1300, Raritan Road, Clark, NJ, 07066",Clark,https://www.hyatthills.com,+1 732 669 9100,,40.6343978,-74.3083395,https://www.openstreetmap.org/way/39835742,higher,150,yes
node/9879365121,Anytime Fitness,active_fun,fitness centre,,2.6,13,yes,active team-building or playful outing,"549, Inman Avenue, Colonia, NJ, 07067",Colonia,https://www.anytimefitness.com/gyms/2053/colonia-nj-07067/,+1 732-882-1111,,40.5986265,-74.3254271,https://www.openstreetmap.org/node/9879365121,higher,150,yes
node/3838322251,Retro Fitness,active_fun,fitness centre,,2.6,13,yes,active team-building or playful outing,"292, Terminal Avenue, Clark, NJ, 07066",Clark,https://www.retrofitness.com/location/clarknj,+1-732-374-3833,Mo-Fr 05:00-22:00;Sa-Su 07:00-19:00,40.6270514,-74.3206751,https://www.openstreetmap.org/node/3838322251,higher,154,yes
node/10858986957,Graham Fitness,active_fun,fitness centre,,2.8,14,yes,active team-building or playful outing,"620, Inman Avenue, Colonia, NJ, 07067",Colonia,,,,40.5987601,-74.329216,https://www.openstreetmap.org/node/10858986957,medium,127,yes
