osm_id,name,pack_type,category,cuisine,distance_miles_from_rahway,rough_drive_minutes_from_rahway,within_45_min_model,team_use_case,address,city,website,phone,opening_hours,lat,lon,osm_url,data_confidence,recommendation_score,verify_before_booking
node/10292454904,The Coffee Box,food_drink,cafe,sandwich;brunch,0.1,8,yes,"low-key coffee, dessert, or small-group catch-up","1465, Irving Street, Rahway, NJ, 07065",Rahway,https://www.cofbx.com/,+1 732-943-2354,Mo-Su 07:45-16:00,40.6071158,-74.2754141,https://www.openstreetmap.org/node/10292454904,higher,163,yes
way/1125707923,Copacabana Coffee & Bagles,food_drink,cafe,bagel;coffee_shop,0.2,8,yes,"low-key coffee, dessert, or small-group catch-up","77, East Milton Avenue, Rahway, NJ, 07065",Rahway,https://copacabanacoffee.com/,+1 973-358-4381,Mo-Fr 06:00-16:00; Sa-Su 07:00-16:00,40.6056705,-74.2759798,https://www.openstreetmap.org/way/1125707923,higher,163,yes
way/1104787823,CubaNu Restaurant & Lounge,food_drink,restaurant: cuban,cuban,0.2,8,yes,team lunch or dinner,"1467, Main Street, Rahway, NJ, 07065",Rahway,https://cubanu.com/,+1 732-499-7100,"Su,Mo 14:00-22:00, Tu,We 11:00-23:30, Th 11:00-24:00, Fr 11:00-25:00, Sa 12:00-25:00",40.6062751,-74.273908,https://www.openstreetmap.org/way/1104787823,higher,163,yes
way/1106392728,Flynn's Pub House,food_drink,pub,,0.2,8,yes,after-work drinks or informal team social,"1482, Main Street, Rahway, NJ, 07065",Rahway,https://www.flynnspubhouse.com,+1 732-381-1066,"Mo closed; Tu-Th 16:00-24:00; Fr-Sa 11:00-25:00, Su 09:00-20:00",40.6066627,-74.2742899,https://www.openstreetmap.org/way/1106392728,higher,160,yes
way/1104795323,Hugo's Peruvian Restaurant,food_drink,restaurant: peruvian,peruvian,0.2,8,yes,team lunch or dinner,"1505-1507, Main Street, Rahway, NJ, 07065",Rahway,https://www.peruNJ.com,+1 732-827-5850,,40.6067937,-74.2736994,https://www.openstreetmap.org/way/1104795323,higher,159,yes
way/1106392732,il a forno a legna,food_drink,"restaurant: pizza, italian",pizza;italian,0.2,8,yes,casual team meal,"1464, Main Street, Rahway, NJ, 07065",Rahway,https://fornoonmain.com/,+1 732-382-6600,Mo-Tu 11:00-21:00; We-Sa 11:00-22:00; Su 11:00-21:00,40.6063869,-74.2743514,https://www.openstreetmap.org/way/1106392732,higher,163,yes
way/1126064093,Luciano's Ristorante,food_drink,"restaurant: italian, american",italian;american,0.2,8,yes,casual team meal,"1579, Main Street, Rahway, NJ, 07065",Rahway,https://www.lucianosristorante.com/,+1 732-815-1200,"We,Th 15:30-21:00; Fr 11:30-22:00; Sa 15:30-22:00; Su 15:30-21:00; Mo,Tu off",40.6081719,-74.2736389,https://www.openstreetmap.org/way/1126064093,higher,163,yes
way/1125707926,Mangos Grill,food_drink,restaurant,,0.2,8,yes,team lunch or dinner,"1348, Fulton Street, Rahway, NJ, 07065",Rahway,,,closed,40.6056187,-74.2761149,https://www.openstreetmap.org/way/1125707926,medium,138,yes
node/10297015917,Melao Cafe & Creamery,food_drink,cafe,sandwich;coffee_shop;ice_cream,0.2,8,yes,"low-key coffee, dessert, or small-group catch-up","1425, Irving Street, Rahway, NJ, 07065",Rahway,,+1 732-428-4558,Mo-Su 08:00-21:00,40.6063936,-74.2755692,https://www.openstreetmap.org/node/10297015917,higher,155,yes
way/1125707922,Michelino's Pizzaria,food_drink,restaurant: pizza,pizza,0.2,8,yes,casual team meal,"79, East Milton Avenue, Rahway, NJ, 07065",Rahway,https://www.michelinos-pizza.com/,+1-732-396-9229,Mo-Th 10:00-22:00; Fr-Sa 10:00-23:00; Su 11:00-22:00,40.6056503,-74.2758994,https://www.openstreetmap.org/way/1125707922,higher,163,yes
