osm_id,name,pack_type,category,cuisine,distance_miles_from_rahway,rough_drive_minutes_from_rahway,within_45_min_model,team_use_case,address,city,website,phone,opening_hours,lat,lon,osm_url,data_confidence,recommendation_score,verify_before_booking
node/10292454904,The Coffee Box,food_drink,cafe,sandwich;brunch,0.1,8,yes,"low-key coffee, dessert, or small-group catch-up","1465, Irving Street, Rahway, NJ, 07065",Rahway,https://www.cofbx.com/,+1 732-943-2354,Mo-Su 07:45-16:00,40.6071158,-74.2754141,https://www.openstreetmap.org/node/10292454904,higher,163,yes
way/1125707923,Copacabana Coffee & Bagles,food_drink,cafe,bagel;coffee_shop,0.2,8,yes,"low-key coffee, dessert, or small-group catch-up","77, East Milton Avenue, Rahway, NJ, 07065",Rahway,https://copacabanacoffee.com/,+1 973-358-4381,Mo-Fr 06:00-16:00; Sa-Su 07:00-16:00,40.6056705,-74.2759798,https://www.openstreetmap.org/way/1125707923,higher,163,yes
way/1104787823,CubaNu Restaurant & Lounge,food_drink,restaurant: cuban,cuban,0.2,8,yes,team lunch or dinner,"1467, Main Street, Rahway, NJ, 07065",Rahway,https://cubanu.com/,+1 732-499-7100,"Su,Mo 14:00-22:00, Tu,We 11:00-23:30, Th 11:00-24:00, Fr 11:00-25:00, Sa 12:00-25:00",40.6062751,-74.273908,https://www.openstreetmap.org/way/1104787823,higher,163,yes
way/1106392732,il a forno a legna,food_drink,"restaurant: pizza, italian",pizza;italian,0.2,8,yes,casual team meal,"1464, Main Street, Rahway, NJ, 07065",Rahway,https://fornoonmain.com/,+1 732-382-6600,Mo-Tu 11:00-21:00; We-Sa 11:00-22:00; Su 11:00-21:00,40.6063869,-74.2743514,https://www.openstreetmap.org/way/1106392732,higher,163,yes
way/1126064093,Luciano's Ristorante,food_drink,"restaurant: italian, american",italian;american,0.2,8,yes,casual team meal,"1579, Main Street, Rahway, NJ, 07065",Rahway,https://www.lucianosristorante.com/,+1 732-815-1200,"We,Th 15:30-21:00; Fr 11:30-22:00; Sa 15:30-22:00; Su 15:30-21:00; Mo,Tu off",40.6081719,-74.2736389,https://www.openstreetmap.org/way/1126064093,higher,163,yes
way/1125707922,Michelino's Pizzaria,food_drink,restaurant: pizza,pizza,0.2,8,yes,casual team meal,"79, East Milton Avenue, Rahway, NJ, 07065",Rahway,https://www.michelinos-pizza.com/,+1-732-396-9229,Mo-Th 10:00-22:00; Fr-Sa 10:00-23:00; Su 11:00-22:00,40.6056503,-74.2758994,https://www.openstreetmap.org/way/1125707922,higher,163,yes
way/1104787821,Nancy's Townehouse,food_drink,"restaurant: italian, pizza",italian;pizza,0.2,8,yes,casual team meal,"1453, Main Street, Rahway, NJ, 07065",Rahway,https://www.nancystownhouse.com/,+1 732-388-8100,Tu-Th 12:00-21:00; Fr 12:00-22:00; Sa 16:00-22:00; Su 16:00-21:00; Mo closed,40.6060456,-74.2739682,https://www.openstreetmap.org/way/1104787821,higher,163,yes
node/13665982001,Blossoms Brunch Bar,food_drink,restaurant: breakfast,breakfast,0.5,9,yes,after-work drinks or informal team social,"289, Monroe Street, 07065",,https://blossomsbrunchbar.com/,+1-732-943-2663,Mo-Su 07:00-15:00,40.6084562,-74.2677021,https://www.openstreetmap.org/node/13665982001,higher,162,yes
way/1106392728,Flynn's Pub House,food_drink,pub,,0.2,8,yes,after-work drinks or informal team social,"1482, Main Street, Rahway, NJ, 07065",Rahway,https://www.flynnspubhouse.com,+1 732-381-1066,"Mo closed; Tu-Th 16:00-24:00; Fr-Sa 11:00-25:00, Su 09:00-20:00",40.6066627,-74.2742899,https://www.openstreetmap.org/way/1106392728,higher,160,yes
way/1108411197,The Waiting Room,food_drink,restaurant,,0.2,8,yes,team lunch or dinner,"66, East Cherry Street, Rahway, NJ, 07065",Rahway,https://www.thewaitingroom.us/,+1 732-382-0900,"Mo-Th 11:00-24:00; Fr 11:00-25:00, Sa 11:00-26:00; Su 11:00-24:00",40.6071379,-74.274596,https://www.openstreetmap.org/way/1108411197,higher,160,yes
