id,repository,subfolder,title,document_type,year,quarter,publication_date,source_url,download_url,local_path,file_type,source_domain,collected_date,notes,status
"inv-0002","02_investor_events","02_investor_events/transcripts","Merck & Co., Inc. at the Citi 2024 Global Healthcare Conference - Transcript","event_transcript","2024","","2024-12-05","https://www.merck.com/events/merck-co-inc-at-the-citi-2024-global-healthcare-conference/","https://s21.q4cdn.com/488056881/files/doc_events/2024/Dec/05/MRK-USQ_Transcript_2024-12-05.pdf","02_investor_events/transcripts/2024-12-05_merck-and-co-inc-at-the-citi-2024-global-healthcare-conference_transcript.pdf","pdf","s21.q4cdn.com","2026-06-12","Event page: https://www.merck.com/events/merck-co-inc-at-the-citi-2024-global-healthcare-conference/","downloaded"
"inv-0004","02_investor_events","02_investor_events/transcripts","Merck & Co., Inc. at the 7th Annual Evercore ISI HealthCONx Conference - Transcript","event_transcript","2024","","2024-12-03","https://www.merck.com/events/merck-co-inc-at-the-7th-annual-evercore-healthconx-conference/","https://s21.q4cdn.com/488056881/files/doc_events/2024/Dec/03/MRK-USQ_Transcript_2024-12-03.pdf","02_investor_events/transcripts/2024-12-03_merck-and-co-inc-at-the-7th-annual-evercore-isi-healthconx-conference_transcript.pdf","pdf","s21.q4cdn.com","2026-06-12","Event page: https://www.merck.com/events/merck-co-inc-at-the-7th-annual-evercore-healthconx-conference/","downloaded"
"inv-0006","02_investor_events","02_investor_events/transcripts","Merck & Co., Inc. at the Jefferies London Healthcare Conference - Transcript","event_transcript","2024","","2024-11-21","https://www.merck.com/events/merck-co-inc-at-the-jefferies-london-healthcare-conference-2/","https://s21.q4cdn.com/488056881/files/doc_events/2024/Nov/21/MRK-USQ_Transcript_2024-11-21-3.pdf","02_investor_events/transcripts/2024-11-21_merck-and-co-inc-at-the-jefferies-london-healthcare-conference_transcript.pdf","pdf","s21.q4cdn.com","2026-06-12","Event page: https://www.merck.com/events/merck-co-inc-at-the-jefferies-london-healthcare-conference-2/","downloaded"
"inv-0008","02_investor_events","02_investor_events/transcripts","Merck & Co., Inc. at the UBS Global Healthcare Conference - Transcript","event_transcript","2024","","2024-11-13","https://www.merck.com/events/merck-co-inc-at-the-ubs-global-healthcare-conference-2/","https://s21.q4cdn.com/488056881/files/doc_events/2024/Nov/13/MRK_N-Transcript-2024.pdf","02_investor_events/transcripts/2024-11-13_merck-and-co-inc-at-the-ubs-global-healthcare-conference_transcript.pdf","pdf","s21.q4cdn.com","2026-06-12","Event page: https://www.merck.com/events/merck-co-inc-at-the-ubs-global-healthcare-conference-2/","downloaded"
"inv-0009","02_investor_events","02_investor_events/investor_events","Clesrovimab Sell-Side Analyst Call - Presentation","event_presentation","2024","","2024-10-22","https://www.merck.com/events/clesrovimab-sell-side-analyst-call/","https://s21.q4cdn.com/488056881/files/doc_events/2024/Oct/22/Clesrovimab-Sell-Side-Analyst-Call-Deck-Final.pdf","02_investor_events/investor_events/2024-10-22_clesrovimab-sell-side-analyst-call_presentation.pdf","pdf","s21.q4cdn.com","2026-06-12","Event page: https://www.merck.com/events/clesrovimab-sell-side-analyst-call/","downloaded"
"inv-0011","02_investor_events","02_investor_events/transcripts","Merck & Co., Inc. at the Bank of America 2024 Global Healthcare Conference - Transcript","event_transcript","2024","","2024-09-18","https://www.merck.com/events/bank-of-america-2024-global-healthcare-conference/","https://s21.q4cdn.com/488056881/files/doc_events/2024/Sep/18/mrk-usq_transcript_2024-09-18.pdf","02_investor_events/transcripts/2024-09-18_merck-and-co-inc-at-the-bank-of-america-2024-global-healthcare-conference_transcript.pdf","pdf","s21.q4cdn.com","2026-06-12","Event page: https://www.merck.com/events/bank-of-america-2024-global-healthcare-conference/","downloaded"
"inv-0013","02_investor_events","02_investor_events/transcripts","Merck & Co., Inc. at the Morgan Stanley 22nd Annual Global Healthcare Conference - Transcript","event_transcript","2024","","2024-09-05","https://www.merck.com/events/merck-co-inc-at-the-morgan-stanley-22nd-annual-global-healthcare-conference/","https://s21.q4cdn.com/488056881/files/doc_events/2024/Sep/05/mrk-usq_transcript_2024-09-05-7.pdf","02_investor_events/transcripts/2024-09-05_merck-and-co-inc-at-the-morgan-stanley-22nd-annual-global-healthcare-conference_transcript.pdf","pdf","s21.q4cdn.com","2026-06-12","Event page: https://www.merck.com/events/merck-co-inc-at-the-morgan-stanley-22nd-annual-global-healthcare-conference/","downloaded"
"inv-0015","02_investor_events","02_investor_events/transcripts","Merck & Co., Inc. at the Goldman Sachs 45th Annual Global Healthcare Conference - Transcript","event_transcript","2024","","2024-06-11","https://www.merck.com/events/merck-co-inc-at-the-goldman-sachs-45th-annual-global-healthcare-conference/","https://s21.q4cdn.com/488056881/files/doc_events/2024/Jun/11/mrk-usq_transcript_2024-06-11-3.pdf","02_investor_events/transcripts/2024-06-11_merck-and-co-inc-at-the-goldman-sachs-45th-annual-global-healthcare-conference_transcript.pdf","pdf","s21.q4cdn.com","2026-06-12","Event page: https://www.merck.com/events/merck-co-inc-at-the-goldman-sachs-45th-annual-global-healthcare-conference/","downloaded"
"inv-0017","02_investor_events","02_investor_events/transcripts","Merck & Co., Inc. Investor Event at ASCO 2024 - Transcript","event_transcript","2024","","2024-06-03","https://www.merck.com/events/merck-co-inc-investor-event-at-asco-2024/","https://s21.q4cdn.com/488056881/files/doc_events/2024/Jun/03/mrk-usq_transcript_2024-06-03.pdf","02_investor_events/transcripts/2024-06-03_merck-and-co-inc-investor-event-at-asco-2024_transcript.pdf","pdf","s21.q4cdn.com","2026-06-12","Event page: https://www.merck.com/events/merck-co-inc-investor-event-at-asco-2024/","downloaded"
"inv-0018","02_investor_events","02_investor_events/investor_events","Merck & Co., Inc. Investor Event at ASCO 2024 - Presentation","event_presentation","2024","","2024-06-03","https://www.merck.com/events/merck-co-inc-investor-event-at-asco-2024/","https://s21.q4cdn.com/488056881/files/doc_events/2024/Jun/03/asco-investor-event-slides-final-for-website.pdf","02_investor_events/investor_events/2024-06-03_merck-and-co-inc-investor-event-at-asco-2024_presentation.pdf","pdf","s21.q4cdn.com","2026-06-12","Event page: https://www.merck.com/events/merck-co-inc-investor-event-at-asco-2024/","downloaded"
