id,repository,subfolder,title,document_type,year,quarter,publication_date,source_url,download_url,local_path,file_type,source_domain,collected_date,notes,status
"inv-0001","02_investor_events","02_investor_events/conference_presentations","Merck & Co., Inc. at the Citi 2024 Global Healthcare Conference - Webcast","webcast_link","2024","","2024-12-05","https://www.merck.com/events/merck-co-inc-at-the-citi-2024-global-healthcare-conference/","https://kvgo.com/2024-global-healthcare-conference/merck-december","","link","kvgo.com","2026-06-12","Metadata-only webcast link from official Merck event page.","metadata_only"
"inv-0003","02_investor_events","02_investor_events/conference_presentations","Merck & Co., Inc. at the 7th Annual Evercore ISI HealthCONx Conference - Webcast","webcast_link","2024","","2024-12-03","https://www.merck.com/events/merck-co-inc-at-the-7th-annual-evercore-healthconx-conference/","https://wsw.com/webcast/evercore44/register.aspx?conf=evercore44&page=mrk&url=https://wsw.com/webcast/evercore44/mrk/2181438","","link","wsw.com","2026-06-12","Metadata-only webcast link from official Merck event page.","metadata_only"
"inv-0005","02_investor_events","02_investor_events/conference_presentations","Merck & Co., Inc. at the Jefferies London Healthcare Conference - Webcast","webcast_link","2024","","2024-11-21","https://www.merck.com/events/merck-co-inc-at-the-jefferies-london-healthcare-conference-2/","https://wsw.com/webcast/jeff315/register.aspx?conf=jeff315&page=mrk&url=https://wsw.com/webcast/jeff315/mrk/1705032","","link","wsw.com","2026-06-12","Metadata-only webcast link from official Merck event page.","metadata_only"
"inv-0007","02_investor_events","02_investor_events/conference_presentations","Merck & Co., Inc. at the UBS Global Healthcare Conference - Webcast","webcast_link","2024","","2024-11-13","https://www.merck.com/events/merck-co-inc-at-the-ubs-global-healthcare-conference-2/","https://event.webcasts.com/starthere.jsp?ei=1694421&tp_key=3b2194533c&tp_special=8","","link","event.webcasts.com","2026-06-12","Metadata-only webcast link from official Merck event page.","metadata_only"
"inv-0010","02_investor_events","02_investor_events/conference_presentations","Merck & Co., Inc. at the Bank of America 2024 Global Healthcare Conference - Webcast","webcast_link","2024","","2024-09-18","https://www.merck.com/events/bank-of-america-2024-global-healthcare-conference/","https://bofa.veracast.com/webcasts/bofa/globalhealthcareuk2024/id2i490m.cfm","","link","bofa.veracast.com","2026-06-12","Metadata-only webcast link from official Merck event page.","metadata_only"
"inv-0012","02_investor_events","02_investor_events/conference_presentations","Merck & Co., Inc. at the Morgan Stanley 22nd Annual Global Healthcare Conference - Webcast","webcast_link","2024","","2024-09-05","https://www.merck.com/events/merck-co-inc-at-the-morgan-stanley-22nd-annual-global-healthcare-conference/","https://cc.webcasts.com/morg007/090424a_js/?entity=101_NN5E2SP","","link","cc.webcasts.com","2026-06-12","Metadata-only webcast link from official Merck event page.","metadata_only"
"inv-0014","02_investor_events","02_investor_events/conference_presentations","Merck & Co., Inc. at the Goldman Sachs 45th Annual Global Healthcare Conference - Webcast","webcast_link","2024","","2024-06-11","https://www.merck.com/events/merck-co-inc-at-the-goldman-sachs-45th-annual-global-healthcare-conference/","https://cc.webcasts.com/gold006/061024a_js/?entity=167_8JMU7DW","","link","cc.webcasts.com","2026-06-12","Metadata-only webcast link from official Merck event page.","metadata_only"
"inv-0016","02_investor_events","02_investor_events/investor_events","Merck & Co., Inc. Investor Event at ASCO 2024 - Webcast","webcast_link","2024","","2024-06-03","https://www.merck.com/events/merck-co-inc-investor-event-at-asco-2024/","https://onlinexperiences.com/Launch/QReg/ShowUUID=811AEA38-F893-44F7-9499-3839C3BC676E&LangLocaleID=1033","","link","onlinexperiences.com","2026-06-12","Metadata-only webcast link from official Merck event page.","metadata_only"
"inv-0019","02_investor_events","02_investor_events/shareholder_meetings","Merck & Co., Inc. 2024 Annual Meeting of Shareholders - Webcast","webcast_link","2024","","2024-05-28","https://www.merck.com/events/merck-co-inc-2024-annual-meeting-of-shareholders/","https://www.virtualshareholdermeeting.com/MRK2024","","link","www.virtualshareholdermeeting.com","2026-06-12","Metadata-only webcast link from official Merck event page.","metadata_only"
"inv-0021","02_investor_events","02_investor_events/shareholder_meetings","Merck & Co., Inc. 2024 Annual Meeting of Shareholders - Vote Results","vote_results","2024","","2024-05-28","https://www.merck.com/events/merck-co-inc-2024-annual-meeting-of-shareholders/","https://s21.q4cdn.com/488056881/files/doc_events/2024/May/28/vote-results-website-2024.pdf","","pdf","s21.q4cdn.com","2026-06-12","Metadata-only. Excluded from core investor-event document set.","metadata_only"
"inv-0023","02_investor_events","02_investor_events/conference_presentations","Merck & Co., Inc. at the Bank of America Securities 2024 Healthcare Conference - Webcast","webcast_link","2024","","2024-05-15","https://www.merck.com/events/merck-co-inc-at-the-bank-of-america-securities-2024-healthcare-conference/","https://bofa.veracast.com/webcasts/bofa/healthcare2024/idFD6yI6.cfm","","link","bofa.veracast.com","2026-06-12","Metadata-only webcast link from official Merck event page.","metadata_only"
"inv-0025","02_investor_events","02_investor_events/conference_presentations","Merck & Co., Inc. at the Barclays 26th Annual Global Healthcare Conference - Webcast","webcast_link","2024","","2024-03-12","https://www.merck.com/events/merck-co-inc-at-the-barclays-26th-annual-global-healthcare-conference/","https://cc.webcasts.com/barc002/031224a_js/?entity=33_B1UPKNH","","link","cc.webcasts.com","2026-06-12","Metadata-only webcast link from official Merck event page.","metadata_only"
"inv-0027","02_investor_events","02_investor_events/conference_presentations","Merck & Co., Inc. at the Leerink Partners 2024 Global Biopharma Conference - Webcast","webcast_link","2024","","2024-03-11","https://www.merck.com/events/merck-co-inc-at-the-leerink-partners-2024-global-biopharma-conference/","https://wsw.com/webcast/leerink33/mrk/2044128","","link","wsw.com","2026-06-12","Metadata-only webcast link from official Merck event page.","metadata_only"
"inv-0029","02_investor_events","02_investor_events/conference_presentations","Merck & Co., Inc. at the TD Cowen 44th Annual Healthcare Conference - Webcast","webcast_link","2024","","2024-03-05","https://www.merck.com/events/merck-co-inc-at-the-td-cowen-44th-annual-healthcare-conference/","https://wsw.com/webcast/cowen154/mrk/1860252","","link","wsw.com","2026-06-12","Metadata-only webcast link from official Merck event page.","metadata_only"
"inv-0031","02_investor_events","02_investor_events/conference_presentations","Merck & Co., Inc. at the 42nd Annual J.P. Morgan Healthcare Conference - Webcast","webcast_link","2024","","2024-01-08","https://www.merck.com/events/merck-co-inc-at-the-42nd-annual-j-p-morgan-healthcare-conference/","https://jpmorgan.metameetings.net/events/healthcare24/sessions/49326-merck-co-inc/webcast?gpu_only=true&kiosk=true","","link","jpmorgan.metameetings.net","2026-06-12","Metadata-only webcast link from official Merck event page.","metadata_only"
"inv-0034","02_investor_events","02_investor_events/conference_presentations","Merck & Co., Inc. at the Goldman Sachs Healthcare C-Suite Unscripted Conference - Webcast","webcast_link","2024","","2024-01-04","https://www.merck.com/events/merck-co-inc-at-the-goldman-sachs-healthcare-c-suite-unscripted-conference/","https://event.webcasts.com/starthere.jsp?ei=1648875&tp_key=60324b8758&tp_special=8","","link","event.webcasts.com","2026-06-12","Metadata-only webcast link from official Merck event page.","metadata_only"
"inv-0036","02_investor_events","02_investor_events/conference_presentations","2025 Citi Global Healthcare Conference - Webcast","webcast_link","2025","","2025-12-03","https://www.merck.com/events/merck-co-inc-at-the-citi-2025-global-healthcare-conference/","https://kvgo.com/global-healthcare-conference-2025/merck-co-december-2025","","link","kvgo.com","2026-06-12","Metadata-only webcast link from official Merck event page.","metadata_only"
"inv-0038","02_investor_events","02_investor_events/conference_presentations","Evercore ISI 8th Annual HealthCONx Conference - Webcast","webcast_link","2025","","2025-12-02","https://www.merck.com/events/merck-co-inc-at-the-8th-annual-evercore-isi-healthconx-conference/","https://wsw.com/webcast/evercore52/register.aspx?conf=evercore52&page=mrk&url=https://wsw.com/webcast/evercore52/mrk/2180244","","link","wsw.com","2026-06-12","Metadata-only webcast link from official Merck event page.","metadata_only"
