title,document_type,year,status,local_path,source_url,download_url,notes
"2023 Sustainability Bond Allocation Report","sustainability_financing","2023-2012","downloaded","03_sustainability_esg/sustainability_financing/2023-2012_merck_2023-sustainability-bond-allocation-report.pdf","https://www.merck.com/company-overview/sustainability/sustainability-resources/","https://www.merck.com/wp-content/uploads/sites/124/2023/12/2023-Sustainability-Bond-Report-Final.pdf",""
"2022 Sustainability Bond Allocation Report","sustainability_financing","2022-2012","downloaded","03_sustainability_esg/sustainability_financing/2022-2012_merck_2022-sustainability-bond-allocation-report.pdf","https://www.merck.com/company-overview/sustainability/sustainability-resources/","https://www.merck.com/wp-content/uploads/sites/124/2022/12/Merck-Sustainability-Bond-Report-2022.pdf",""
"Access to Health Guiding Principles (Access Principles)","supporting_resource","2024-2008","downloaded","03_sustainability_esg/supporting_resources/2024-2008_merck_access-to-health-guiding-principles-access-principles.pdf","https://www.merck.com/company-overview/sustainability/sustainability-resources/","https://www.merck.com/wp-content/uploads/sites/124/2024/08/Access-to-Health_Final_08.01.24.pdf",""
"2024/2025 Annual Well-being Report","workforce_wellbeing","2024-2025","downloaded","03_sustainability_esg/workforce_wellbeing/2024-2025_merck_2024-2025-annual-well-being-report.pdf","https://www.merck.com/company-overview/sustainability/sustainability-resources/","https://www.merck.com/wp-content/uploads/sites/124/2025/08/2024-2025-US-Annual-Wellbeing-Report.pdf",""
"Respect for Environmental, Health and Safety","climate_environment","2021-2008","downloaded","03_sustainability_esg/climate_cdp_tcfd/2021-2008_merck_respect-for-environmental-health-and-safety.pdf","https://www.merck.com/company-overview/sustainability/sustainability-resources/","https://www.merck.com/wp-content/uploads/sites/124/2021/08/Merck_Corporate-Policy-14-Public-2_Respect_Envir_Health_Safety.pdf",""
"2025 CDP Disclosure","climate_environment","2025-2011","downloaded","03_sustainability_esg/climate_cdp_tcfd/2025-2011_merck_2025-cdp-disclosure.pdf","https://www.merck.com/company-overview/sustainability/sustainability-resources/","https://www.merck.com/wp-content/uploads/sites/124/2025/11/2025_CDP_Disclosure.pdf",""
"2024 CDP Disclosure","climate_environment","2025-2007","downloaded","03_sustainability_esg/climate_cdp_tcfd/2025-2007_merck_2024-cdp-disclosure.pdf","https://www.merck.com/company-overview/sustainability/sustainability-resources/","https://www.merck.com/wp-content/uploads/sites/124/2025/07/2024-CDP-Disclosure.pdf",""
"2025 Climate-Related Financial Risk and Opportunity Report using the Task Force on Climate-Related Financial Disclosures (TCFD) Framework","climate_environment","2025-2011","downloaded","03_sustainability_esg/climate_cdp_tcfd/2025-2011_merck_2025-climate-related-financial-risk-and-opportunity-report-using-the-task-force-on-climate-related-f.pdf","https://www.merck.com/company-overview/sustainability/sustainability-resources/","https://www.merck.com/wp-content/uploads/sites/124/2025/11/Merck-TCFD-CA-261Final-2025.pdf",""
"2024 GHG assurance letter","climate_environment","2026-2002","downloaded","03_sustainability_esg/climate_cdp_tcfd/2026-2002_merck_2024-ghg-assurance-letter.pdf","https://www.merck.com/company-overview/sustainability/sustainability-resources/","https://www.merck.com/wp-content/uploads/sites/124/2026/02/2024-assurance-letter-GHG.pdf",""
"Climate Policy Alignment Assessment (Trade Associations)","climate_environment","2024-2008","downloaded","03_sustainability_esg/climate_cdp_tcfd/2024-2008_merck_climate-policy-alignment-assessment-trade-associations.pdf","https://www.merck.com/company-overview/sustainability/sustainability-resources/","https://www.merck.com/wp-content/uploads/sites/124/2024/08/2024-CLIMATE-POLICY-ALIGNMENT-ASSESSMENT-MERCK-FINAL.pdf",""
