id,original_id,company,title,document_type,year,source_url,source_html_path,local_path,file_type,collected_date,notes,status,bytes
peerpdf-0001,peer-0001,,Johnson & Johnson 2025 10-K annual report PDF export,peer_annual_report_pdf_export,2025,https://www.sec.gov/edgar/browse/?CIK=200406,07_peer_pharma_annual_reports/sec_filings/rank01_johnson-and-johnson_10-k_2025.html,07_peer_pharma_annual_reports/pdf_exports/rank01_johnson-and-johnson_10-k_2025.pdf,pdf,2026-06-24,Generated from locally saved official HTML filing/snapshot for easier LLM upload and review.,generated,706844
peerpdf-0002,peer-0015,,Roche Annual Report 2025 English PDF,peer_annual_report_official_pdf,2025,https://assets.roche.com/f/176343/x/fa3c863601/ar25e.pdf,07_peer_pharma_annual_reports/official_snapshots/rank02_roche_annual-report-2025.html,07_peer_pharma_annual_reports/pdf_exports/rank02_roche_annual-report-2025.pdf,pdf,2026-06-24,Official Roche Annual Report 2025 English PDF copied into pdf_exports after the generated landing-page PDF was found to be incomplete.,downloaded,14509174
peerpdf-0003,peer-0002,,Pfizer 2025 10-K annual report PDF export,peer_annual_report_pdf_export,2025,https://www.sec.gov/edgar/browse/?CIK=78003,07_peer_pharma_annual_reports/sec_filings/rank04_pfizer_10-k_2025.html,07_peer_pharma_annual_reports/pdf_exports/rank04_pfizer_10-k_2025.pdf,pdf,2026-06-24,Generated from locally saved official HTML filing/snapshot for easier LLM upload and review.,generated,1703712
peerpdf-0004,peer-0003,,AbbVie 2025 10-K annual report PDF export,peer_annual_report_pdf_export,2025,https://www.sec.gov/edgar/browse/?CIK=1551152,07_peer_pharma_annual_reports/sec_filings/rank05_abbvie_10-k_2025.html,07_peer_pharma_annual_reports/pdf_exports/rank05_abbvie_10-k_2025.pdf,pdf,2026-06-24,Generated from locally saved official HTML filing/snapshot for easier LLM upload and review.,generated,1259250
peerpdf-0005,peer-0004,,AstraZeneca 2025 20-F annual report PDF export,peer_annual_report_pdf_export,2025,https://www.sec.gov/edgar/browse/?CIK=901832,07_peer_pharma_annual_reports/sec_filings/rank06_astrazeneca_20-f_2025.html,07_peer_pharma_annual_reports/pdf_exports/rank06_astrazeneca_20-f_2025.pdf,pdf,2026-06-24,Generated from locally saved official HTML filing/snapshot for easier LLM upload and review.,generated,1327305
peerpdf-0006,peer-0005,,Novartis 2025 20-F annual report PDF export,peer_annual_report_pdf_export,2025,https://www.sec.gov/edgar/browse/?CIK=1114448,07_peer_pharma_annual_reports/sec_filings/rank07_novartis_20-f_2025.html,07_peer_pharma_annual_reports/pdf_exports/rank07_novartis_20-f_2025.pdf,pdf,2026-06-24,Generated from locally saved official HTML filing/snapshot for easier LLM upload and review.,generated,1869603
peerpdf-0007,peer-0006,,Bristol Myers Squibb 2025 10-K annual report PDF export,peer_annual_report_pdf_export,2025,https://www.sec.gov/edgar/browse/?CIK=14272,07_peer_pharma_annual_reports/sec_filings/rank08_bristol-myers-squibb_10-k_2025.html,07_peer_pharma_annual_reports/pdf_exports/rank08_bristol-myers-squibb_10-k_2025.pdf,pdf,2026-06-24,Generated from locally saved official HTML filing/snapshot for easier LLM upload and review.,generated,1513789
peerpdf-0008,peer-0007,,Eli Lilly 2025 10-K annual report PDF export,peer_annual_report_pdf_export,2025,https://www.sec.gov/edgar/browse/?CIK=59478,07_peer_pharma_annual_reports/sec_filings/rank09_eli-lilly_10-k_2025.html,07_peer_pharma_annual_reports/pdf_exports/rank09_eli-lilly_10-k_2025.pdf,pdf,2026-06-24,Generated from locally saved official HTML filing/snapshot for easier LLM upload and review.,generated,885453
peerpdf-0009,peer-0008,,Sanofi 2025 20-F annual report PDF export,peer_annual_report_pdf_export,2025,https://www.sec.gov/edgar/browse/?CIK=1121404,07_peer_pharma_annual_reports/sec_filings/rank10_sanofi_20-f_2025.html,07_peer_pharma_annual_reports/pdf_exports/rank10_sanofi_20-f_2025.pdf,pdf,2026-06-24,Generated from locally saved official HTML filing/snapshot for easier LLM upload and review.,generated,3177378
peerpdf-0010,peer-0009,,Novo Nordisk 2025 20-F annual report PDF export,peer_annual_report_pdf_export,2025,https://www.sec.gov/edgar/browse/?CIK=353278,07_peer_pharma_annual_reports/sec_filings/rank11_novo-nordisk_20-f_2025.html,07_peer_pharma_annual_reports/pdf_exports/rank11_novo-nordisk_20-f_2025.pdf,pdf,2026-06-24,Generated from locally saved official HTML filing/snapshot for easier LLM upload and review.,generated,508843
